"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_17","exp_avant_17","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_17","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_17","NB_CLUB_AVANT_17","TOP_50_AVANT_17","TOP_50_150_AVANT_17","top_restant_AVANT_17","France U16","France U17","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","Y"
280,"Milieu",1,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","PEM - PEM PLOUFRAGAN",0,0,12.84,14.44,15.05,14.44,15.3,15.3,15.05,14.44,14.44,12.84,0.00023,18.09,3,"1","0","0",1,1,NA,10,474,5,NA,4,129,2,0
292,"Milieu",3,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","PEM - PEM NANCY",0,0,10.47,13.87,15.7,13.87,17.37,17.37,17.98,13.13,13.13,13.87,0.00021,10.99,2,"0","1","0",0,1,NA,NA,NA,NA,NA,2,51,1,0
308,"Attaquant",3,"France","CFM - CENTRE DE FORMATION MONTPELLIER HERAULT SP.C.","aucun",0,0,16.78,16.78,16.78,16.78,16.78,16.78,NA,16.78,16.78,16.78,0.00055,11.52,2,"0","0","1",0,1,NA,NA,NA,NA,2,6,247,3,0
317,"Attaquant",2,"Comores","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00476,67.71,2,"1","0","0",1,1,4,7,396,4,1,7,386,5,1
318,"Defenseur",12,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,16.74,3,"1","0","0",0,1,NA,NA,NA,NA,NA,6,384,4,0
323,"Gardien de But",6,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","aucun",0,0,NA,NA,NA,NA,18.13,18.13,18.13,NA,NA,NA,0,13.4,2,"0","0","1",0,1,NA,NA,NA,NA,NA,2,180,2,1
347,"Defenseur",8,"France","CFM - CENTRE DE FORMATION F.C. METZ","aucun",0,0,11.15,11.15,11.15,11.15,NA,NA,NA,11.15,11.15,11.15,0.00011,15.64,2,"0","0","1",0,1,NA,NA,NA,NA,NA,9,618,7,0
359,"Milieu",4,"Tunisie","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,31.09,2,"1","0","0",0,1,NA,NA,NA,NA,NA,1,90,1,0
373,"Milieu",7,"France","aucun","aucun",0,0,20,12.47,12.59,12.47,13.89,13.89,12.59,12.47,12.47,14.57,0.00021,14.52,2,"0","0","1",1,1,NA,1,50,NA,NA,2,74,1,0
384,"Defenseur",3,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18.74,2,"1","0","1",0,1,NA,NA,NA,NA,NA,8,385,4,0
397,"Attaquant",9,"Cote d'ivoire","CFM - CENTRE DE FORMATION F.C. METZ","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,5,15,966,11,4,9,759,9,1
409,"Defenseur",10,"France","aucun","aucun",0,0,18.27,14.13,14.78,14.13,13.59,13.59,13.04,12.75,12.75,12.16,0,15.27,3,"1","0","1",1,1,NA,2,128,2,NA,2,48,1,0
411,"Defenseur",8,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00015,13.37,2,"1","0","0",0,1,NA,NA,NA,NA,NA,14,1018,11,1
412,"Defenseur",1,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,45.54,1,"0","1","0",1,1,1,9,590,7,NA,11,945,10,1
415,"Defenseur",6,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","PEM - PEM REIMS",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,NA,13,1135,13,NA,9,754,8,1
433,"Defenseur",5,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,1,NA,NA,NA,NA,NA,6,360,5,1
479,"Defenseur",4,"France","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","PEM - PEM TALENCE",0,0,10.18,12.59,12.59,12.59,10.18,10.18,15,15,15,NA,0,35.52,1,"0","0","1",1,1,NA,1,19,NA,NA,4,278,3,0
491,"Defenseur",10,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,NA,6,422,5,1,17,1418,17,1
