"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_21","exp_avant_21","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_21","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_21","NB_CLUB_AVANT_21","TOP_50_AVANT_21","TOP_50_150_AVANT_21","top_restant_AVANT_21","France U16","France U17","France U18","France U19","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","U19_NB_BUT","U19_NB_MATCH_JOUE","U19_NB_MIN_JOUE","U19_TITULARISATION","Y"
336527,"Milieu",3,"Suède","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",0,1,13.44,11.76,13.36,11.76,13.44,13.44,13.36,13.36,13.36,10.16,3e-05,10.04,3,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6165853,"Milieu",6,"France","CFM - CENTRE DE FORMATION R.C. STRASBOURG ALSACE","PEM - PEM NANCY",0,0,16.77,12.96,9.16,12.96,12.96,12.96,9.16,12.96,12.96,16.77,0.00022,9.24,2,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127770,"Gardien de But",9,"Etranger","CFM - ACADEMY AS MONACO FC","aucun",2,1,NA,NA,NA,NA,15,15,NA,NA,NA,NA,0,11.92,2,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11590442,"Milieu",5,"Française","aucun","aucun",0,0,NA,13.42,13.42,13.42,NA,NA,13.42,13.42,13.42,NA,4e-05,11.23,7,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10593999,"Milieu",10,"Guadeloupe","aucun","PEM - PEM GUADELOUPE",0,0,14.4,14.4,14.4,14.4,14.4,14.4,NA,NA,NA,NA,0.00025,6.63,11,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10852741,"Attaquant",2,"France","aucun","PEM - PEM SAINT-SEBASTIEN SUR LOIRE",0,0,19.35,14.68,11.92,14.68,10,10,11.92,14.68,14.68,19.35,0.00027,9.31,2,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7262359,"Défenseur",1,"France","aucun","aucun",0,0,15.25,14.14,13.03,14.14,15.25,15.25,13.03,14.14,14.14,15.25,0,8.88,8,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1688,"Milieu",2,"Française","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","PEM - PEM AIX EN PROVENCE",0,0,7.68,7.68,7.68,7.68,NA,NA,NA,NA,NA,7.68,7e-05,12.84,3,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26743,"Milieu",9,"Française","aucun","aucun",0,0,11.8,11.8,2.22,11.8,11.8,11.8,NA,11.8,11.8,11.8,4e-05,10.14,8,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7208960,"Gardien de But",9,"France","aucun","aucun",0,0,10.2,8.26,8.26,8.26,8.26,8.26,6.8,8.26,6.8,NA,0,10.69,10,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2338526,"Attaquant",5,"Française","aucun","aucun",0,0,NA,10.02,NA,10.02,10.02,10.02,NA,10.02,10.02,10.02,0.00014,9.94,4,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6726208,"Attaquant",5,"France","aucun","aucun",0,0,10.07,14.87,NA,14.87,14.87,14.87,NA,14.87,14.87,14.87,0.00037,7.63,6,"inconnu","inconnu","inconnu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
