"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_20","exp_avant_20","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_20","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_20","NB_CLUB_AVANT_20","TOP_50_AVANT_20","TOP_50_150_AVANT_20","top_restant_AVANT_20","France U16","France U17","France U18","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","Y"
308,"Attaquant",3,"France","CFM - CENTRE DE FORMATION MONTPELLIER HERAULT SP.C.","aucun",0,0,16.78,16.78,16.78,16.78,16.78,16.78,NA,16.78,16.78,16.78,0.00061,9.74,2,"0","0","1",0,1,0,NA,NA,NA,NA,2,6,247,3,NA,NA,NA,NA,0
318,"Defenseur",12,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-05,10.65,3,"1","0","0",0,1,0,NA,NA,NA,NA,NA,6,384,4,NA,NA,NA,NA,1
327,"Attaquant",2,"France","CFM - CENTRE DE FORMATION F.C. LORIENT","aucun",0,0,16.96,16.4,16.75,16.4,16.5,16.5,16.75,16.4,16.4,16.11,0.00018,8,5,"1","0","1",1,0,0,NA,5,182,2,NA,NA,NA,NA,NA,NA,NA,NA,0
331,"Milieu",3,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00096,28.98,3,"1","0","0",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
344,"Attaquant",4,"Etats-Unis","CFM - CENTRE DE FORMATION ST DE REIMS","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00272,41.7,3,"0","0","1",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
347,"Defenseur",8,"France","CFM - CENTRE DE FORMATION F.C. METZ","aucun",0,0,11.15,11.15,11.15,11.15,NA,NA,NA,11.15,11.15,11.15,7e-05,13.14,2,"0","0","1",0,1,0,NA,NA,NA,NA,NA,9,618,7,NA,NA,NA,NA,0
353,"Defenseur",4,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
359,"Milieu",4,"Tunisie","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00037,10.35,3,"1","0","0",0,1,1,NA,NA,NA,NA,NA,1,90,1,NA,1,63,1,0
368,"Attaquant",4,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",1,0,16.16,17.92,18.8,17.92,18.8,18.8,18.8,17.92,17.92,16.16,0.00039,8.53,5,"1","0","0",1,0,0,2,5,195,2,NA,NA,NA,NA,NA,NA,NA,NA,0
371,"Milieu",1,"France","CFM - CENTRE DE FORMATION AS NANCY LORRAINE","aucun",0,0,10.21,10.21,10.21,10.21,10.21,10.21,NA,NA,NA,NA,8e-05,16.35,1,"0","0","0",1,0,0,NA,2,126,1,NA,NA,NA,NA,NA,NA,NA,NA,0
373,"Milieu",7,"France","aucun","aucun",0,0,20,12.47,12.59,12.47,13.89,13.89,12.59,12.47,12.47,14.57,0.00011,8.76,6,"0","1","1",1,1,0,NA,1,50,NA,NA,2,74,1,NA,NA,NA,NA,0
