"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_21","exp_avant_21","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_21","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_21","NB_CLUB_AVANT_21","TOP_50_AVANT_21","TOP_50_150_AVANT_21","top_restant_AVANT_21","France U16","France U17","France U18","France U19","France U20","France U21","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","U19_NB_BUT","U19_NB_MATCH_JOUE","U19_NB_MIN_JOUE","U19_TITULARISATION","U20_NB_BUT","U20_NB_MATCH_JOUE","U20_NB_MIN_JOUE","U20_TITULARISATION","U21_NB_BUT","U21_NB_MATCH_JOUE","U21_NB_MIN_JOUE","U21_TITULARISATION","Y"
3977,"Attaquant",3,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","PEM - PEM SAINT-SEBASTIEN SUR LOIRE",0,0,16.75,15.57,15.68,15.57,14.32,14.32,15.68,15.57,15.57,15.46,0.00059,6.22,6,"1","1","0",1,1,0,1,1,1,4,7,377,4,NA,7,401,4,NA,NA,NA,NA,6,11,722,8,4,5,302,3,1,4,179,2,0
3982,"Milieu",9,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40.25,2,"0","1","0",0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,224,2,1,9,428,3,NA,1,90,1,NA,11,939,10,0
4041,"Defenseur",7,"France","aucun","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00027,22.22,2,"0","0","1",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,54,NA,0
4050,"Attaquant",6,"Cote d'ivoire","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00338,43.86,1,"0","0","1",1,1,1,1,1,1,NA,1,41,1,NA,12,809,11,3,4,176,2,2,7,319,3,2,7,345,5,13,20,1283,14,0
4062,"Milieu",12,"France","aucun","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0021,25.08,1,"0","0","0",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,343,4,1
4111,"Gardien de But",11,"France","CFM - LOSC LILLE ASSOCIATION","PEM - PEM LIEVIN",0,0,15.05,17.98,18.71,17.98,18.71,18.71,18.71,18.71,18.71,15.05,0,10.85,3,"1","0","1",1,0,1,0,1,1,NA,1,90,1,NA,NA,NA,NA,NA,4,360,4,NA,NA,NA,NA,NA,1,90,1,NA,6,540,6,0
4126,"Milieu",11,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,12.47,1,"1","0","0",0,1,1,1,1,1,NA,NA,NA,NA,NA,9,701,9,NA,9,810,9,NA,14,1137,14,NA,7,630,7,NA,9,597,7,1
4134,"Gardien de But",3,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,630,7,NA,9,810,9,NA,7,630,7,NA,6,540,6,0
4145,"Gardien de But",4,"France","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17.16,1,"0","0","1",1,0,0,0,1,1,NA,1,90,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90,1,NA,1,90,1,0
4149,"Attaquant",2,"Algérie","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,NA,16.4,16.4,16.4,15.73,15.73,16.4,16.4,16.4,NA,0.00076,10.49,3,"1","1","0",1,1,1,1,1,1,4,11,561,6,5,13,955,11,5,5,316,4,3,8,315,2,2,6,351,4,12,31,1965,24,0
4153,"Defenseur",4,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","PEM - PEM LIEVIN",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00017,19.15,1,"1","0","0",0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,135,2,NA,NA,NA,NA,NA,1,90,1,3,13,1055,12,1
4154,"Milieu",3,"France","CFM - CENTRE DE FORMATION ST. MALHERBE CAEN-CALV.B.NORM.","aucun",0,1,15.6,15.03,14.6,15.03,15.03,15.03,14.6,15.03,15.03,15.6,4e-05,9,3,"0","1","0",0,1,1,1,0,1,NA,NA,NA,NA,NA,1,67,1,NA,6,367,4,NA,2,31,NA,NA,NA,NA,NA,NA,NA,0,NA,0
