"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_20","exp_avant_20","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_20","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_20","NB_CLUB_AVANT_20","TOP_50_AVANT_20","TOP_50_150_AVANT_20","top_restant_AVANT_20","France U16","France U17","France U18","France U19","France U20","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","U19_NB_BUT","U19_NB_MATCH_JOUE","U19_NB_MIN_JOUE","U19_TITULARISATION","U20_NB_BUT","U20_NB_MATCH_JOUE","U20_NB_MIN_JOUE","U20_TITULARISATION","Y"
1290,"Milieu",6,"Maroc","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00049,12.77,3,"1","1","1",0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,94,1,3,7,275,3,NA,2,29,NA,1
1295,"Attaquant",8,"France","aucun","aucun",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00127,32.88,2,"0","1","1",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,367,4,0
1312,"Defenseur",3,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","PEM - PEM CLAIREFONTAINE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,46.7,1,"1","0","0",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,NA,0
1346,"Attaquant",8,"France","aucun","aucun",0,0,14.71,14.71,14.71,14.71,14.71,14.71,NA,NA,NA,NA,0.00074,11.29,5,"1","1","0",1,0,1,1,1,NA,2,78,1,NA,NA,NA,NA,3,7,459,5,3,9,465,7,NA,10,359,3,0
1354,"Defenseur",1,"Cameroun","CFM - CENTRE DE FORMATION A.J. AUXERROISE","PEM - PEM CLAIREFONTAINE",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,69.5,2,"1","0","1",1,1,1,1,1,1,9,713,8,NA,10,708,6,NA,1,14,NA,NA,2,134,1,NA,3,199,2,0
1366,"Defenseur",5,"France","CFM - CENTRE DE FORMATION R.C. STRASBOURG ALSACE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,12.94,2,"1","0","1",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,168,2,1
1380,"Defenseur",11,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00024,29.21,1,"1","0","0",0,1,1,1,1,NA,NA,NA,NA,NA,7,564,6,NA,7,584,6,NA,13,1200,13,NA,13,1116,13,1
1388,"Defenseur",5,"France","CFM - ACADEMY AS MONACO FC","PEM - PEM CLAIREFONTAINE",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0024,69.42,1,"0","1","0",0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,180,2,NA,6,540,6,0
1419,"Milieu",1,"France","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",0,1,13.8,13.8,NA,13.8,13.8,13.8,NA,13.8,13.8,13.8,0.00013,7.88,4,"1","0","0",1,1,0,0,1,NA,7,384,3,NA,2,99,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,46,1,0
1420,"Milieu",4,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0014,15.87,2,"1","1","0",1,0,1,0,1,NA,2,109,1,NA,NA,NA,NA,3,5,263,2,NA,NA,NA,NA,1,4,234,3,1
1424,"Defenseur",2,"France","aucun","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.86,4,"1","1","0",1,1,1,0,1,NA,7,414,5,2,16,1102,12,NA,11,862,9,NA,NA,NA,NA,NA,1,90,1,0
1425,"Attaquant",2,"France","CFM - CENTRE DE FORMATION LA BERRICHONNE DE CHATEAUROUX","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00231,15.45,2,"0","0","1",1,1,0,1,1,2,4,218,2,NA,2,87,1,NA,NA,NA,NA,1,8,301,2,2,5,220,3,0
1431,"Attaquant",6,"France","CFM - CENTRE DE FORMATION F.C. NANTES","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00059,10.15,2,"0","1","1",0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,44,NA,NA,NA,NA,NA,NA,NA,0,NA,0
1447,"Gardien de But",4,"France","CFM - CENTRE DE FORMATION ESPER. TROYES AUBE CHAMPAGNE","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,27.74,3,"0","0","1",0,1,1,1,1,NA,NA,NA,NA,NA,7,630,7,NA,5,450,5,NA,14,1260,14,NA,6,540,6,1
1451,"Attaquant",2,"Maroc","CFM - ACADEMY AS MONACO FC","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00108,14.22,4,"1","1","0",1,0,1,1,1,1,10,567,7,NA,NA,NA,NA,NA,2,141,2,2,5,314,4,2,9,461,5,0
1464,"Attaquant",9,"France","aucun","aucun",0,1,NA,12.97,12.97,12.97,12.97,12.97,12.97,12.97,12.97,NA,5e-04,8.4,6,"1","0","1",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,88,1,0
1489,"Milieu",12,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00024,15.27,2,"1","0","0",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,205,3,1
1496,"Attaquant",3,"Guinée","CFM - CENTRE DE FORMATION ST. LAVALLOIS F.C.","aucun",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0102,12.25,2,"0","0","0",1,0,0,1,1,1,4,163,1,NA,NA,NA,NA,NA,NA,NA,NA,2,11,841,10,5,9,573,5,0
1504,"Attaquant",1,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,88,1,0
1507,"Milieu",9,"France","CFM - CENTRE DE FORMATION AS NANCY LORRAINE","aucun",0,1,NA,9.74,7.18,9.74,7.18,7.18,7.18,7.18,7.18,20,0.00014,8.4,4,"1","1","1",1,1,0,1,1,NA,2,92,1,NA,6,442,4,NA,NA,NA,NA,1,15,823,10,NA,8,363,4,0
1512,"Attaquant",8,"France","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","PEM - PEM DIJON",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00074,43.78,1,"0","0","1",0,1,0,0,1,NA,NA,NA,NA,NA,2,93,1,NA,NA,NA,NA,NA,NA,NA,NA,1,4,266,3,0
1520,"Defenseur",5,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"1","0","0",0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,494,6,1,9,679,7,1
1557,"Milieu",2,"Cameroun","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00043,11.45,3,"1","1","1",1,1,1,1,1,5,19,1510,17,NA,8,571,7,1,2,114,2,NA,5,322,4,NA,2,136,2,1
1566,"Defenseur",3,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-05,13.35,4,"1","1","1",1,1,1,1,1,1,7,549,5,2,6,480,5,1,5,365,4,NA,3,125,1,NA,1,90,1,1
1587,"Defenseur",3,"France","CFM - CENTRE DE FORMATION ST DE REIMS","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00019,16.15,2,"0","0","1",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,270,3,1
1594,"Defenseur",7,"France","CFM - LOSC LILLE ASSOCIATION","aucun",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00063,44.39,2,"1","0","0",0,1,1,1,1,NA,NA,NA,NA,NA,15,1350,15,NA,11,775,9,NA,12,1049,11,2,12,1005,12,1
1597,"Defenseur",1,"Guinée","aucun","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,1,1,1,1,NA,NA,NA,NA,NA,3,205,2,NA,2,98,1,1,10,866,9,NA,6,540,6,1
1603,"Defenseur",6,"France","CFM - CENTRE DE FORMATION AS NANCY LORRAINE","PEM - PEM LIEVIN",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,1,1,1,NA,6,334,3,NA,14,1113,12,NA,3,270,3,NA,6,540,6,NA,2,117,1,1
1607,"Attaquant",4,"France","aucun","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02899,0.81,4,"1","1","0",1,1,1,0,1,9,13,926,10,3,18,1403,17,NA,3,118,1,NA,NA,NA,NA,NA,2,48,NA,0
1627,"Defenseur",1,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00044,24.64,1,"1","0","0",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,136,2,1
1711,"Gardien de But",1,"France","CFM - CENTRE DE FORMATION NIMES OLYMPIQUE","aucun",2,0,10.66,10.66,10.66,10.66,10.66,10.66,NA,10.66,NA,NA,0,8.1,2,"0","0","1",0,1,1,0,1,NA,NA,NA,NA,NA,5,404,4,NA,1,90,1,NA,NA,NA,NA,NA,NA,0,NA,0
1723,"Defenseur",5,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,646,7,NA,11,690,8,0
1731,"Milieu",1,"France","CFM - CENTRE DE FORMATION ST. MALHERBE CAEN-CALV.B.NORM.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00013,16.44,1,"0","1","0",0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,170,3,0
