"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_19","exp_avant_19","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_19","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_19","NB_CLUB_AVANT_19","TOP_50_AVANT_19","TOP_50_150_AVANT_19","top_restant_AVANT_19","France U16","France U17","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","Y"
3136,"Milieu",5,"Maroc","CFM - CENTRE DE FORMATION F.C. NANTES","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e-04,25.6,1,"0","1","0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
3152,"Attaquant",3,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,0,NA,NA,0,NA,NA,NA,NA,NA,0
3153,"Defenseur",11,"Martinique","CFM - CENTRE DE FORMATION VALENCIENNES F.C.","PEM - PEM CLAIREFONTAINE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
3160,"Defenseur",2,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"0","0","0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
3164,"Milieu",6,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","PEM - PEM AIX EN PROVENCE",0,0,15.14,13.83,13.03,13.83,13.83,13.83,13.03,13.83,13.83,14.91,3e-05,12.97,2,"1","1","0",1,0,NA,5,301,3,NA,NA,NA,NA,0
3167,"Defenseur",3,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","PEM - PEM CASTELMAUROU",0,0,16.67,15.42,14.48,15.42,15.68,15.68,14.48,15.42,15.42,16.67,2e-05,13.85,3,"0","0","1",0,1,NA,NA,NA,NA,NA,1,44,NA,0
3171,"Defenseur",4,"France","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e-05,10.49,2,"0","1","0",1,0,NA,2,111,1,NA,NA,NA,NA,0
3178,"Defenseur",8,"France","CFM - CENTRE DE FORMATION MONTPELLIER HERAULT SP.C.","PEM - PEM AIX EN PROVENCE",0,0,15.23,13.64,12.32,13.64,14.37,14.37,12.32,13.43,13.43,15.23,3e-05,9.46,2,"1","0","0",1,0,NA,3,125,1,NA,NA,NA,NA,0
3187,"Attaquant",9,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00159,35.24,1,"0","1","0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
3213,"Defenseur",1,"Sénégal","CFM - CENTRE DE FORMATION AS NANCY LORRAINE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
