"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_16","exp_avant_16","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_16","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_16","NB_CLUB_AVANT_16","TOP_50_AVANT_16","TOP_50_150_AVANT_16","top_restant_AVANT_16","France U16","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","Y"
2432,"Defenseur",2,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,12,942,11,0
2438,"Defenseur",2,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,1,90,1,1
2439,"Milieu",9,"France","CFM - LOSC LILLE ASSOCIATION","aucun",0,0,6.63,16.67,16.67,16.67,16.19,16.19,16.67,14.66,14.66,NA,0.00044,18.76,2,"1","0","0",1,NA,2,90,1,0
2442,"Attaquant",1,"Madagascar","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,4,111,2,0
2444,"Defenseur",1,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",1,0,18.68,16.92,15.17,16.92,16.51,16.51,15.17,16.92,16.92,18.68,0.00037,42.38,1,"0","1","0",1,NA,8,322,3,1
2465,"Gardien de But",3,"Tunisie","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,2,180,2,1
2479,"Milieu",8,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,0,NA,13.74,13.93,13.74,13.49,13.49,13.93,13.74,13.74,13.02,0.00013,16.8,4,"0","1","1",1,NA,6,308,3,0
2491,"Milieu",3,"France","CFM - LOSC LILLE ASSOCIATION","aucun",1,0,NA,13.55,13.55,13.55,NA,NA,13.55,13.55,13.55,NA,0,83.3,1,"1","0","0",1,NA,5,181,2,0
2500,"Milieu",5,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,10.32,10.32,10.32,NA,NA,10.32,10.32,10.32,NA,0,34.93,1,"1","0","0",1,NA,10,508,5,0
2501,"Gardien de But",4,"France","CFM - CENTRE DE FORMATION F.C. METZ","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,90,1,"0","0","1",1,NA,1,90,1,0
2504,"Defenseur",9,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00013,17.66,3,"1","1","1",1,NA,1,58,1,0
2512,"Gardien de But",5,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,7,579,6,0
2527,"Milieu",3,"France","aucun","aucun",0,0,NA,17.79,17.24,17.79,18.42,18.42,17.24,17.24,17.24,20,2e-04,23.45,1,"1","0","0",1,NA,2,89,1,0
2532,"Defenseur",3,"France","CFM - CENTRE DE FORMATION EN AVANT GUINGAMP","aucun",0,0,13.63,11.21,8.19,11.21,9.01,9.01,8.19,11.21,11.21,13.63,0.00013,20.5,2,"0","0","0",1,NA,5,268,3,0
2539,"Attaquant",5,"France","CFM - CENTRE DE FORMATION LE HAVRE A.C.","aucun",0,0,NA,14.2,11.78,14.2,17.82,17.82,11.78,11.78,11.78,17.82,7e-04,18.28,2,"0","1","1",1,1,3,174,2,0
2566,"Gardien de But",2,"France","aucun","aucun",1,0,NA,13.83,13.83,13.83,14.38,14.38,13.83,13.83,13.83,NA,0,75.6,1,"0","0","1",1,NA,3,270,3,0
2576,"Defenseur",9,"Cameroun","CFM - CENTRE DE FORMATION MONTPELLIER HERAULT SP.C.","aucun",0,0,11.81,11.81,NA,11.81,NA,NA,NA,11.81,11.81,11.81,3e-05,16.99,1,"0","0","0",1,NA,2,180,2,0
2584,"Attaquant",8,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",1,0,20,17.14,16.42,17.14,15.95,15.95,16.42,16.42,16.42,20,0.0022,60.73,1,"0","1","0",1,3,8,410,5,0
2591,"Milieu",1,"France","CFM - LOSC LILLE ASSOCIATION","aucun",1,0,NA,15.09,15.09,15.09,NA,NA,15.09,15.09,15.09,NA,0,76.85,1,"1","0","0",1,NA,11,537,6,0
2593,"Defenseur",3,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,38.92,1,"1","0","0",1,NA,2,114,1,0
2595,"Defenseur",8,"Cap-Vert","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,1,90,1,1
2605,"Defenseur",7,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7e-05,15.92,1,"0","0","1",1,NA,4,230,2,0
2616,"Defenseur",4,"Comores","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,0,18.44,18.44,18.44,18.44,18.44,18.44,NA,NA,NA,NA,0,26.76,1,"1","0","0",1,NA,3,174,2,0
2618,"Defenseur",3,"France","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","PEM - PEM CLAIREFONTAINE",0,0,13.6,15.31,15.59,15.31,14.99,14.99,15.59,14.92,14.92,14.89,0.00021,21.75,3,"0","0","1",1,NA,1,90,1,0
2651,"Defenseur",2,"France","CFM - CENTRE DE FORMATION PARIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e-04,17.07,2,"1","0","0",1,NA,3,233,2,0
2671,"Defenseur",6,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","aucun",0,0,NA,14.42,13.92,14.42,14.42,14.42,13.92,14.42,14.42,15.08,0.00019,18.98,3,"0","1","1",1,NA,6,434,5,0
2672,"Defenseur",9,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","0","0",1,NA,4,192,2,0
2695,"Defenseur",3,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","PEM - PEM CASTELMAUROU",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,11,744,7,0
2711,"Gardien de But",7,"France","aucun","aucun",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,10,900,10,1
2715,"Attaquant",11,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,1,49,NA,0
2716,"Attaquant",4,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","PEM - PEM PLOUFRAGAN",0,0,13.88,14.54,14.79,14.54,14.54,14.54,14.79,14.54,14.54,13.88,0.00161,22.21,2,"1","0","1",1,12,17,1026,10,1
2718,"Milieu",7,"France","aucun","aucun",0,0,11.48,14.82,16.49,14.82,16.49,16.49,16.49,14.82,14.82,11.48,0.00042,32.82,1,"1","0","0",1,1,10,454,6,0
2728,"Attaquant",9,"France","CFM - CENTRE DE FORMATION ST. LAVALLOIS F.C.","aucun",0,0,NA,NA,NA,NA,10,10,NA,NA,NA,NA,0.00202,24.16,2,"1","1","0",1,NA,1,41,1,0
2737,"Gardien de But",5,"France","CFM - CENTRE DE FORMATION F.C. NANTES","PEM - PEM PLOUFRAGAN",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17.3,2,"0","1","1",1,NA,1,90,1,0
2747,"Defenseur",5,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,90,1,"0","0","1",1,NA,7,358,4,0
2748,"Defenseur",11,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,NA,1,46,1,0
