"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_18","exp_avant_18","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_18","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_18","NB_CLUB_AVANT_18","TOP_50_AVANT_18","TOP_50_150_AVANT_18","top_restant_AVANT_18","France U16","France U17","France U18","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","Y"
3141,"Milieu",2,"France","aucun","aucun",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"1","0","0",1,1,1,5,16,1005,13,1,12,839,10,4,6,373,5,0
3148,"Milieu",5,"France","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00025,37.44,1,"0","0","0",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6,353,4,0
3156,"Attaquant",1,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","PEM - PEM PLOUFRAGAN",1,0,NA,14.3,14.3,14.3,NA,NA,14.3,14.3,14.3,NA,0.00094,21.48,1,"1","0","0",1,1,1,5,16,981,11,NA,13,690,7,NA,6,290,4,0
3175,"Milieu",4,"Iraq","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","PEM - PEM PLOUFRAGAN",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,22,NA,0
3176,"Defenseur",3,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e-05,23.9,1,"0","1","0",0,1,1,NA,NA,NA,NA,NA,6,540,6,NA,8,449,4,1
3201,"Milieu",1,"France","CFM - CENTRE DE FORMATION A.C. AJACCIEN","PEM - PEM AJACCIO",0,0,NA,13.46,13.46,13.46,NA,NA,13.46,13.46,13.46,NA,0.00073,13.32,1,"1","0","0",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,178,3,0
3226,"Defenseur",6,"France","aucun","aucun",2,1,9.46,13.86,14.96,13.86,14.96,14.96,14.96,13.86,13.86,9.46,0.00018,13.3,2,"1","0","0",1,1,1,4,11,841,8,NA,18,1594,18,1,12,909,10,1
3236,"Attaquant",5,"France","CFM - CENTRE DE FORMATION TOULOUSE FOOTBALL CLUB","aucun",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00121,63.46,1,"0","1","0",1,1,1,4,8,437,4,2,17,885,10,3,5,204,2,0
3241,"Attaquant",7,"France","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",0,0,NA,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,NA,0.00116,15.2,2,"0","0","1",0,1,1,NA,NA,NA,NA,NA,6,288,2,2,5,266,3,0
3257,"Defenseur",1,"Comores","CFM - CENTRE DE FORMATION ANGERS S.C.O.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,27.04,2,"1","0","1",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,270,3,0
3264,"Gardien de But",2,"France","aucun","PEM - PEM CLAIREFONTAINE",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"1","0","0",0,1,1,NA,NA,NA,NA,NA,10,900,10,NA,4,360,4,1
3279,"Milieu",6,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","PEM - PEM CLAIREFONTAINE",0,0,NA,10.93,10.93,10.93,10.93,10.93,10.93,10.93,10.93,NA,0.00011,11.09,2,"0","1","1",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,217,2,0
3281,"Defenseur",3,"France","CFM - CENTRE DE FORMATION F.C. METZ","aucun",1,0,NA,16.7,16.7,16.7,NA,NA,16.7,16.7,16.7,NA,0.00011,22.05,1,"0","0","1",1,1,1,NA,12,790,9,NA,16,1359,15,NA,10,801,9,0
3291,"Attaquant",1,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","PEM - PEM CLAIREFONTAINE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,6,411,4,0
3321,"Milieu",2,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","PEM - PEM DIJON",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,34.52,2,"1","0","0",1,1,1,NA,11,560,8,NA,2,96,1,NA,1,28,NA,0
3331,"Milieu",4,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","PEM - PEM DIJON",1,0,14.73,14.68,12.91,14.68,15.61,15.61,14.58,16.1,16.1,17.62,3e-04,14.11,2,"0","0","1",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,411,5,0
3358,"Defenseur",1,"Mauritanie","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,73.67,1,"0","0","0",0,1,1,NA,NA,NA,NA,NA,7,374,4,NA,7,245,3,0
3363,"Milieu",7,"Cameroun","CFM - CENTRE DE FORMATION F.C. METZ","aucun",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"0","1","0",1,1,1,NA,6,291,4,NA,3,132,1,NA,5,373,4,0
3378,"Defenseur",11,"France","CFM - CENTRE DE FORMATION O.G.C. NICE COTE D'AZUR","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,1,"0","1","0",0,1,1,NA,NA,NA,NA,NA,3,270,3,NA,5,369,4,1
